sales,profit,region,state,category,type,caffeination
219,94,Central,CO,Coffee,Amaretto,Regular
190,68,Central,CO,Coffee,Columbian,Regular
234,101,Central,CO,Coffee,Decaf Irish Cream,Decaf
100,30,Central,CO,Tea,Green Tea,Regular
134,54,Central,CO,Espresso,Caffe Mocha,Regular
180,53,Central,CO,Espresso,Decaf Espresso,Decaf
341,99,Central,CO,Herbal Tea,Chamomile,Decaf
150,0,Central,CO,Herbal Tea,Lemon,Decaf
140,33,Central,CO,Herbal Tea,Mint,Decaf
130,17,Central,CO,Tea,Darjeeling,Regular
140,36,Central,CO,Tea,Earl Grey,Regular
345,111,Central,IL,Coffee,Columbian,Regular
234,87,Central,IL,Coffee,Decaf Irish Cream,Decaf
546,203,Central,IL,Espresso,Caffe Mocha,Regular
456,140,Central,IL,Espresso,Decaf Espresso,Decaf
219,95,Central,IL,Herbal Tea,Chamomile,Decaf
190,68,Central,IL,Herbal Tea,Lemon,Decaf
234,101,Central,IL,Herbal Tea,Mint,Decaf
134,53,Central,IL,Tea,Darjeeling,Regular
180,54,Central,IL,Tea,Earl Grey,Regular
45,11,Central,IA,Coffee,Amaretto,Regular
62,5,Central,IA,Coffee,Columbian,Regular
54,12,Central,IA,Coffee,Decaf Irish Cream,Decaf
43,11,Central,IA,Espresso,Caffe Mocha,Regular
43,10,Central,IA,Espresso,Decaf Espresso,Decaf
546,202,Central,IA,Herbal Tea,Chamomile,Decaf
234,86,Central,IA,Herbal Tea,Lemon,Decaf
456,141,Central,IA,Tea,Darjeeling,Regular
546,175,Central,IA,Tea,Earl Grey,Regular
190,39,Central,MO,Coffee,Columbian,Regular
170,47,Central,MO,Coffee,Decaf Irish Cream,Decaf
76,4,Central,MO,Tea,Green Tea,Regular
123,48,Central,MO,Espresso,Caffe Mocha,Regular
114,45,Central,MO,Espresso,Decaf Espresso,Decaf
90,11,Central,MO,Herbal Tea,Chamomile,Decaf
99,39,Central,MO,Herbal Tea,Lemon,Decaf
82,9,Central,MO,Tea,Darjeeling,Regular
65,9,Central,MO,Tea,Earl Grey,Regular
140,34,Central,OH,Coffee,Amaretto,Regular
140,42,Central,OH,Coffee,Columbian,Regular
150,0,Central,OH,Coffee,Decaf Irish Cream,Decaf
200,67,Central,OH,Tea,Earl Grey,Regular
130,16,Central,OH,Espresso,Decaf Espresso,Decaf
341,99,Central,OH,Espresso,Caffe Mocha,Regular
80,29,Central,OH,Herbal Tea,Chamomile,Decaf
80,29,Central,OH,Herbal Tea,Lemon,Decaf
210,68,Central,OH,Tea,Darjeeling,Regular
120,13,Central,WI,Coffee,Amaretto,Regular
190,9,Central,WI,Coffee,Columbian,Regular
180,51,Central,WI,Coffee,Decaf Irish Cream,Decaf
